estimate_id,universe,data_class,tier_basis,compressed_mb_per_day,extracted_mb_per_day,parquet_mb_per_day,retention_days,total_compressed_tb,total_parquet_tb,assumptions
EST-001,U25,trades,"Stratified on 4 real daily objects: VERY HIGH BTCUSDT spot (9.82 MB/d, 653k rows), HIGH perp trades (15.1 MB/d, 1.8M rows), UPPER-MID BTCUSD-2019 inverse (4.0 MB/d), LOW BTCUSDT-2020 (0.12 MB/d). U25 weighted ~60%% mid/low, 40%% high/very-high.","0.55","3.2","1.6",1825,"1.00","1.84","Per-row bytes empirically measured (trades comp 8-15 B/row, ext 54-87 B/row). Parquet=0.5x ext. Manifest overhead 2%% excluded for clarity."
EST-002,U25,one_minute_bars,"1m klines BTCUSDT 2025-01-01 = 1440 rows/0.069 MB comp/day. All pairs 1440 rows/day regardless of activity.","0.10","0.55","0.28",1825,"0.18","0.51","Bars tiny and uniform; dominant only at U100 scale."
EST-003,U25,funding,"Bybit funding capped <=100 recent; Binance funding monthly 94 rows/0.825KB. ~3-8 intervals/day/pair.","0.00004","0.0002","0.0001",1825,"0.00007","0.00018","Negligible."
EST-004,U25,instrument_snapshots,"OKX 427 SWAP instruments ~0.44 MB one-shot; daily delta ~0.005 MB.","0.005","0.03","0.015",1825,"0.009","0.027","Reference metadata."
EST-005,U25,orderbook_calibration,"OKX L2 sz=5 ~0.42 KB/snapshot; 1/5min/pair => 288/day; 25 pairs.","0.003","0.012","0.006",1825,"0.005","0.011","Bounded calibration only."
EST-006,U50,trades,"U50: more high/very-high pairs than U25 (~2x U25 trade volume mix).","1.15","6.6","3.3",1825,"2.10","3.80","Scaled from U25 with measured per-pair weights; not a single BTC extrapolation."
EST-007,U50,one_minute_bars,"50 pairs * 1440 bars/day.","0.21","1.10","0.55",1825,"0.38","1.00",""
EST-008,U50,funding,"50 pairs * ~5/day.","0.00008","0.0004","0.0002",1825,"0.00015","0.00037",""
EST-009,U50,instrument_snapshots,"50 pairs daily delta.","0.010","0.06","0.03",1825,"0.018","0.055",""
EST-010,U50,orderbook_calibration,"50 pairs snapshot/5min.","0.006","0.024","0.012",1825,"0.011","0.022",""
EST-011,U100,trades,"U100: long tail adds many LOW/SPARSE pairs (sparse assumed ~0.02 MB/d each, flagged as not directly sampled). Median case dominated by mid/low.","2.10","12.0","6.0",1825,"3.83","6.95","SPARSE tier inferred (0.02 MB/d) — NOT independently sampled; upper/stress cases below raise it."
EST-012,U100,trades_UPPER_QUANTILE,"Upper-quantile: assume U100 mix skewed to high/very-high (more BTC/ETH/ SOL-class pairs active).","3.4","19.5","9.8",1825,"6.20","11.3","Upper-quantile assumption from measured high/very-high per-pair MB."
EST-013,U100,trades_STRESS,"Stress: all 100 pairs at VERY HIGH (BTCUSDT-like) trade rate (worst case, not expected).","9.8","56.5","28.3",1825,"17.9","32.6","Stress only; demonstrates upper bound if many pairs become very-high-activity."
EST-014,U100,one_minute_bars,"100 pairs * 1440 bars/day.","0.42","2.20","1.10",1825,"0.77","2.01",""
EST-015,U100,funding,"100 pairs * ~5/day.","0.00016","0.0008","0.0004",1825,"0.00029","0.00073",""
EST-016,U100,instrument_snapshots,"100 pairs daily delta.","0.020","0.12","0.06",1825,"0.037","0.110",""
EST-017,U100,orderbook_calibration,"100 pairs snapshot/5min.","0.012","0.048","0.024",1825,"0.022","0.044",""
EST-018,U100,trades_5yr_total,"U100 median trades full 5-yr retention.","","",,1825,"3.83","6.95","Order ~4-7 TB canonical for trades at U100 median; bars/funding negligible."
