item_id,research_data_question,candidate_primary_sources,alternative_sources,point_in_time_risks,licensing_access_constraints,required_audit_test,blocked_factor_families,priority
DF-01,"Historical token circulating supply and max/fully-diluted supply per asset per day","Coin Metrics (ATLAS); Messari (getAssetMetrics); Glassnode; Artemis","Exchange filings; project docs; aggregator snapshots","Current snapshots or retrospectively reconstructed charts are not sufficient; need daily point-in-time values as they were knowable on each date","Commercial subscriptions; redistribution limits; some series gated","Reconstruct a known historical date and confirm the value equals the contemporaneous published value (no look-ahead from later corrections)","DIL-01; SIZE-06; NET-01","P0"
DF-02,"Historical unlock schedules and revision histories (announced, revised, executed)","Tokenomist; Messari (unlock calendars); Coin Metrics; project governance repos","Team announcements; vesting-contract events","Announcement vs execution timestamps differ; revisions change the schedule; need both announcement and actual-event times","Commercial; some contracts not indexed; EVM-only coverage gaps","For a known unlock, confirm announcement timestamp, revision history, and actual on-chain unlock event all reconcile","DIL-01","P0"
DF-03,"Historical perpetual funding rates and exact cash-flow times","Exchange APIs (Binance, Bybit, OKX); Kaiko; Amberdata; Paradigm(CM) archives","Blobfish; self-collected websocket","Funding accrues at discrete times; need exact timestamps and the contract specs in force; venue differences","Exchange ToS; commercial; historical depth limits","Replay a known funding payment and confirm booked cash flow matches the contract formula at that timestamp","CARRY-01 (funding leg); H-004","P0"
DF-04,"Fixed-expiry futures basis (spot vs perp vs dated future) history","Exchange/dated-future APIs; Kaiko; Coin Metrics; CME/deribit where applicable","Synthetic from perp+funding","Basis definition must be consistent across maturities; need reliable spot and contract definitions","Commercial; venue coverage","Confirm basis sign and magnitude on a known date against an independent price source","CARRY-01 (futures-basis leg)","P1"
DF-05,"Staking reward histories and eligibility (native + liquid staking)","StakingRewards.com (used by Cong/He/Tang); Dune; validator APIs; Lido/rocketpool dashboards","Project docs","Staking yield varies by provider and is revised; need point-in-time yield and lock-up terms","Mostly open; some APIs rate-limited; provider bias","Reproduce a documented staking-yield figure for a known date and provider","CARRY-01 (staking leg); H-004","P1"
DF-06,"Historical shortability and margin terms per venue/asset","Exchange margin docs; APIs; Kaiko; Amberdata","Broker termsheets","Margin/liquidation terms change; need effective dates and liquidation thresholds","Commercial; per-account variation","Confirm a known margin change date and liquidation threshold against venue history","MOM-01 (shortable perpetual implementation); CARRY-01","P1"
DF-07,"On-chain observation publication times and revisions (blocks, addresses, fees)","Node/explorer APIs (Etherscan); Dune; Glassnode; Artemis","Project RPC","Block timestamps vs indexer publication; revisions/backfills change history","Mostly open; rate limits; archival depth","For a known block, confirm publication time and that no later revision altered the value used","NET-01; DIL-01","P1"
DF-08,"Delisted and failed assets (return series, delisting date, failure cause)","Exchange delisting notices; Coin Metrics; Artemis; CMC historical","Archive.org; project repos","Survivorship bias: must include delisted assets with their last tradable price and date","Fragmented; notice retention varies","Reconstruct a known delisting and confirm the asset's series ends at the correct date with no silent drop","ALL (universe/survivorship)","P0"
DF-09,"Venue-specific spreads, depth, and impact (order book + trades)","Kaiko; Amberdata; Tickdata; exchange APIs","Self-collected","Spreads/depth are venue- and time-specific; need matched venue and timestamp","Commercial; high cost; depth history limited","Reproduce a known top-of-book spread and a realized impact estimate for a known trade","LIQ-01; MOM-01 (costs); CARRY-01","P1"
DF-10,"Token migrations, redenominations, and contract changes","Etherscan/explorer; project announcements; Dune","Archive.org","Contract changes alter asset identity and supply; need effective dates and mapping","Open but noisy; cross-chain mapping incomplete","For a known migration, confirm old->new mapping and that supply/price continuity is handled","DIL-01; NET-01; universe","P1"
