evidence_id,repo_path,artifact,role_in_synthesis,sha256,size_bytes,retained_flag,notes
DF-08-E01,research/sprint_002/06_DATA_FEASIBILITY_BACKLOG.csv,sprint_002 data-feasibility backlog (accepted),"DF-08 defines the survivorship-free universe question (delisted/failed assets with last tradable price, delisting date, failure cause) and its known-delisting reconstruction test.",8f66013461f80a02cb6254d723834efe06bb52fa16b02dec8dd8627d27a45374,4718,retained,
DF-08-E02,research/sprint_003/01_SOURCE_DECISION_REGISTER.csv,sprint_003 source decision register (accepted),Records per-source acceptance decisions used to scope which venues carry any listing/delivery observations.,291a37fa1aa0d5229e50a9eaec0e43b887f791be4cbb67347015eafb49383271,4124,retained,
DF-08-E03,research/sprint_003/02_SOURCE_OBJECT_INVENTORY.csv,sprint_003 source object inventory (accepted),"Contains bounded earliest/latest timestamps within sampled/archive objects, not proven asset-lifetime first/last trades. BTCUSDU26 carries a scheduled future deliveryTime (1790323200000), not an observed completed delivery. Sample/archive edges must never be equated with lifecycle listing/delisting events.",d78fa196ea071266dbb5431b20fad5960f646a4b5ec35ec2dc3bef146ac08cef,9503,retained,
DF-08-E04,research/sprint_003/04_POINT_IN_TIME_REFERENCE_PLAN.md,sprint_003 point-in-time reference plan (accepted),Plan for PIT reference/event handling; announcement known-time vs effective-time and state-transition history are identified as required but unproven.,5d70415e540d8667c53d70e283eb1963b57711e108ef6837f5bd8f0bb97a3fee,6842,retained,
DF-08-E05,research/sprint_003/08_RESEARCH_DATA_DECISIONS.csv,sprint_003 research data decisions (accepted),Sprint-003 RD-06 recorded partial listing/delivery feasibility; its next action proposed an instrument-master (launchTime/deliveryTime/state) plus last-trade polling. RD-06 did not itself grant source or implementation authority. Later accepted REF-002/REF-003 decisions block the Bybit-dependent path.,9e6cb26a49af9af7444f530737c7a755c3a6c20f2bc6c42561637260be75fa8b,3484,retained,
DF-08-E06,docs/reviews/REVIEW-0017_REF-001_ACCEPTED.md,REF-001 acceptance review (accepted),REF-001 provides accepted bitemporal identity/event-storage substrate only; not a survivorship-free event authority.,b7d38ef19ec60a1e961a9d6cafc391706333f8d82c36f856102a7ba9c892a049,4772,retained,
DF-08-E07,tickets/REF-002.md,"REF-002 ticket (accepted, NO AUTHORITY)",Bybit instrument event source feasibility; accepted with NO AUTHORITY for historical universe events.,7f801c23694a6c3d08fa7078d58de953b72cc77d7cf81f4c5f1ad6c1dc341bb1,1731,retained,
DF-08-E08,docs/reviews/REF-002_SOURCE_FEASIBILITY_REPORT.md,REF-002 source feasibility report (accepted),Documents Bybit historical event feasibility gaps; does not establish complete listing/delisting authority.,c4bff4271c11debb7be9386b4b29052eb33686284c2fb2620c388a2964e4457e,6771,retained,
DF-08-E09,docs/reviews/REVIEW-0102_REF-002_ACCEPTED_NO_AUTHORITY.md,REF-002 acceptance review (accepted),Accepts REF-002 as NO AUTHORITY; blocks Bybit historical instrument event authority.,9c4d92d80930262a90bc31ea7b5d6b7c9f79feb7f53056ad206d02dca28fbe2f,2271,retained,
DF-08-E10,research/ref_002/decision_matrix.csv,REF-002 decision matrix (accepted),Gate results underpinning REF-002 NO AUTHORITY; retained as prior accepted evidence.,d5b357f90778ca74042b2fc4591d0b992665d284cecb32209cf6181908098c6a,2037,retained,
DF-08-E11,tickets/REF-003.md,"REF-003 ticket (accepted, NO_AUTHORITY)",Bybit prospective instrument snapshot authority; accepted with NO_AUTHORITY.,14d5d2dbdcd38b011f7bd95ea97cf384d2606b83ffceaa0363f40ce96db9e055,1703,retained,
DF-08-E12,docs/reviews/REF-003_BYBIT_PROSPECTIVE_AUTHORITY_REPORT.md,REF-003 prospective authority report (accepted),Documents prospective snapshot gaps; does not establish prospective event authority.,45b03a497d7cef90466609aab603df804ed70a6e6d767f93395dda6611d45e0c,4675,retained,
DF-08-E13,docs/reviews/REVIEW-0118_REF-003_ACCEPTED_NO_AUTHORITY.md,REF-003 acceptance review (accepted),Accepts REF-003 as NO_AUTHORITY; blocks Bybit prospective snapshot authority.,95b91f642038021a864d53ac71c6ac0f58bce76dd4c4cc53b8e18fc81e555dca,1492,retained,
DF-08-E14,research/ref_003/decision_matrix.csv,REF-003 decision matrix (accepted),Gate results underpinning REF-003 NO_AUTHORITY; retained as prior accepted evidence.,d26012ef693669d577e00df92e06f9d2a972d94e5a1c3f81fc1275e7c0939ad7,4007,retained,
DF-08-E15,tickets/BAR-001.md,BAR-001 ticket (accepted canonical-bar authority),Preserved market-bar boundary only: DF-08 does not downgrade accepted canonical-bar authority.,69994b437a66838f891ab1a52d9b7b51848a5725bbb5f66f9ba48a3bca80fc76,1419,retained,
DF-08-E16,docs/reviews/REVIEW-0042_BAR-001_ACCEPTED.md,BAR-001 acceptance review (accepted),"Preserved market-bar boundary only: accepted canonical-bar authority is preserved, not downgraded by DF-08.",f829d14dbf4a07fc2ad37d10d5dcccf9c7d519e628e88d35c16f091c83f2bcd0,2535,retained,
