finding_id,severity,domain,finding,evidence_status,evidence_location,implication,required_action
L-001,Critical,Validation,Split purge is applied to the start of test rather than purging earlier overlapping label intervals,VERIFIED_REPO,pipeline.py walk_forward_splits,Re-establish all model evidence,Rewrite
L-002,Critical,Labels,Profit barrier is checked before loss barrier inside the same OHLC bar,VERIFIED_REPO,pipeline.py triple_barrier_labels,Potential optimistic label bias,Drop/resolve dual-touch events
L-003,Critical,Universe,Eligibility uses full-file average volume and latest-file trailing volume,VERIFIED_REPO,quality_gate.py,Look-ahead/survivorship risk,Build point-in-time membership
L-004,High,Provenance,"Raw data, results, models and many experiment patterns are ignored by Git",VERIFIED_REPO,.gitignore,Claims not publicly reproducible,Version manifests/configs/results
L-005,High,Features,Absent canonical columns are zero-filled,VERIFIED_REPO,canonical_features.py,Missingness conflated with zero,Preserve null + missing reason
L-006,High,Selection,Many indicator/regime/sweep variants and split choices were tried,VERIFIED_REPO,repository tree and live_candidates.md,Multiple-testing risk,Experiment census + prospective holdout
L-007,High,Objective,Accuracy/AUC and sign tests are prominent promotion metrics,VERIFIED_REPO,research docs and model trainer,Economic mismatch,Use net portfolio metrics
L-008,High,Representation,Volume-bar comparison is not shown to match horizon/sample/turnover,CLAIMED_LOCAL,RESEARCH_SUMMARY.md,Cannot isolate representation effect,Matched replication
L-009,Medium,Manifest,Manifest captures inventory but not hashes/schema/availability lineage,VERIFIED_REPO,data_manifest.py,Insufficient provenance,Replace manifest
L-010,Medium,Organization,"Research, collection, serving and one-off scripts share root",VERIFIED_REPO,repository tree,High coupling and accidental paths,New repository
L-011,Medium,Research identity,"README, research summary and roadmap describe different primary systems",VERIFIED_REPO,README.md; RESEARCH_SUMMARY.md; ROADMAP.md,Ambiguous governing objective,Freeze one charter
L-012,Critical,Validation,Paper #2 v2 fits one model on the first 80% and reuses it across nominal walk-forward test slices,VERIFIED_REPO,eval_paper2_v2.py train + oos_dir_acc,Nominal OOS folds can overlap fitted data and are not fold-specific retrains,Invalidate and rerun fold-local
L-013,Critical,Representation,Information-bar threshold is derived from total volume over the complete sample,VERIFIED_REPO,eval_paper2_v2.py; model_trainer.py,Future data determines and can revise historical bar boundaries,Training-only frozen or causal rolling threshold
L-014,Critical,Feature lineage,Evaluator aggregates precomputed time-bar features while artifact trainer computes features after information-bar construction,VERIFIED_REPO,eval_paper2_v2.py; model_trainer.py,Evaluation does not validate artifact semantics,One transformation order across research/train/serve
L-015,Critical,Venue robustness,BloFin threshold is computed but grouping still accumulates Binance volume and retains Binance price/features,VERIFIED_REPO,eval_paper2_v2.py treatment B,Second-venue robustness claim is not implemented,Use true venue-specific raw observations
L-016,High,Serving,Serving bot builds time bars while committed info artifacts require information-bar inputs,VERIFIED_REPO,cex_ml_xgb_5m.py; model_trainer.py,Filename flip would create training-serving skew,Quarantine until streaming parity contract
L-017,High,Estimation,Latest info artifact reports 496 train bars for 113 features and 200 trees,VERIFIED_REPO,models/latest_info_meta.json,High instability/overfit risk and incomparable asset fits,Minimum effective-sample and stability gates
L-018,High,Provenance,"Info artifact metadata omits complete dates, classes, prediction coverage, returns, data hashes, thresholds and environment",VERIFIED_REPO,models/*_info_meta.json,Artifacts cannot independently support promotion,Adopt artifact/experiment schema
L-019,Medium,Operations,Generic *_xgb.json discovery also matches _info artifacts if explicit screener protection is absent,VERIFIED_REPO,cex_ml_xgb_5m.py discover_models,Representation-incompatible model namespace can leak into serving,Typed manifest and strict compatibility loader
L-020,Medium,Literature,Working trend paper and systematic mapping review have different research roles,LITERATURE_VERIFIED,Karassavidis et al. 2025; Nguyen and Chan 2024,Survey could be misclassified as model evidence,Evidence-type classification before experiment creation
