evidence_id,provider,request_url,retrieval_utc,http_status,sha256,byte_size,external_path,returned_bounds,rate_direction,licensing_url,licensing_status,notes
KRAKEN-USDTZUSD-OLD-SINCE,Kraken,https://api.kraken.com/0/public/OHLC?pair=USDTZUSD&interval=1440&since=1651363200,2026-07-21T07:22:40Z,200,6ea3d7bbb01f808e8c5c2f21d1fabf7acfb19a574e4ad5c0f41676c4a4123a95,64759,/tmp/fx_002_raw/kraken/usdtzusd_old_since.json,"min_ts=1722384000 (2024-07-31), max_ts=1784592000 (2026-07-21), rows=721",USD per USDT,https://www.kraken.com/legal,UNKNOWN: no terms evidence captured,"Old since ignored; only recent cap returned. Confirms non-historical for backfill per Sprint-003."
COINMETRICS-CATALOG-ASSET-METRICS-USDT-USDC,Coin Metrics,https://api.coinmetrics.io/v4/catalog/asset-metrics,2026-07-21T08:00:00Z,401,30845bbc9abf40738d6cbaf138699ddeff8cc36968c53aa32ae76f9c3e628e11,88,/tmp/fx_002_raw/coinmetrics/catalog_asset_metrics.json,"error: unauthorized",NOT_APPLICABLE: no price data returned in catalog,https://docs.coinmetrics.io,UNKNOWN: no terms evidence captured,"Unauthorized for asset-metrics catalog. No USD price/reference-rate metric identified."
DEFILLAMA-STABLECOINS,DefiLlama,https://stablecoins.llama.fi/stablecoins?includePrices=true,2026-07-21T07:30:00Z,200,17420a0a34c704180995c219de7351313d0afe6e41a8a376464259a5016d7de1,531934,/tmp/fx_002_raw/defillama_stablecoins.json,"peggedAssets:410, current prices USDT 0.99919 USDC 0.99992",NOT_APPLICABLE: current snapshot only,https://defillama.com,UNKNOWN: no terms evidence captured,"Current snapshot only; no historical series or PIT timestamps in payload."
BINANCE-USDTUSD-SYMBOL,BINANCE,https://api.binance.com/api/v3/exchangeInfo?symbol=USDTUSD,2026-07-21T08:00:00Z,200,568add8a136f0a7b1c5ab03fc13673074ab5ba1e06953fe4048a1eb69a354c6d,5161,/tmp/fx_002_raw/binance/exchangeinfo_USDTUSD.json,"baseAsset=USDT, quoteAsset=USD, status=TRADING, isSpotTradingAllowed=true",USD per USDT,https://www.binance.com/legal,UNKNOWN: no terms evidence captured,"Direct instrument: USDT quoted in USD. Fiat semantics not explicitly documented in captured pages."
BINANCE-USDCUSD-SYMBOL,BINANCE,https://api.binance.com/api/v3/exchangeInfo?symbol=USDCUSD,2026-07-21T08:00:00Z,200,e1339d680f12a92971632593b1ecd893ed7fe8335b6f5367d1dc257292db6f78,5511,/tmp/fx_002_raw/binance/exchangeinfo_USDCUSD.json,"baseAsset=USDC, quoteAsset=USD, status=TRADING, isSpotTradingAllowed=true",USD per USDC,https://www.binance.com/legal,UNKNOWN: no terms evidence captured,"Direct instrument: USDC quoted in USD. Fiat semantics not explicitly documented in captured pages."
BINANCE-USDTUSD-ARCHIVE-2022-05-CORRECTED,BINANCE,https://data.binance.vision/data/spot/daily/klines/USDTUSD/1d/USDTUSD-1d-2022-05-01.zip,2026-07-21T08:05:00Z,404,cb7797bfec0a01466221d457fb82899722d615a79613875ff5de72e4d13ae62d,350,/tmp/fx_002_raw/binance/data_archive/USDTUSD-2022-05-01.zip,"404 NoSuchKey (error body); no object for May 2022 depeg window",NOT_APPLICABLE: archive object absent for this date,https://data.binance.vision,UNKNOWN: no terms evidence captured,"Correct /data/ path 404 for 2022-05-01. Proves absence of daily archive object for depeg window."
BINANCE-USDCUSD-ARCHIVE-2022-05-CORRECTED,BINANCE,https://data.binance.vision/data/spot/daily/klines/USDCUSD/1d/USDCUSD-1d-2022-05-01.zip,2026-07-21T08:05:00Z,404,27f922322adad0be9882797bb1b985b2ec2b956519a931dbe884fcd8ac2fec35,350,/tmp/fx_002_raw/binance/data_archive/USDCUSD-2022-05-01.zip,"404 NoSuchKey (error body); no object for May 2022 depeg window",NOT_APPLICABLE: archive object absent for this date,https://data.binance.vision,UNKNOWN: no terms evidence captured,"Correct /data/ path 404 for 2022-05-01. Proves absence of daily archive object for depeg window."
BINANCE-USDTUSD-ARCHIVE-2026-07-20,BINANCE,https://data.binance.vision/data/spot/daily/klines/USDTUSD/1d/USDTUSD-1d-2026-07-20.zip,2026-07-21T08:05:00Z,200,31b77cdcaf601a7a4167a9a15eb83770b4cf66d2a12c5aeda5d25e1daa3707ac,224,/tmp/fx_002_raw/binance/data_archive/USDTUSD-2026-07-20.zip,"Last-Modified: Tue, 21 Jul 2026 02:43:50 GMT; 1 daily bar (open_time=1784505600000000, close=0.99920); CSV schema: open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore",USD per USDT,https://data.binance.vision,UNKNOWN: no terms evidence captured,"Correct /data/ path 200 for 2026-07-20. Historical coverage: recent/partial. Confirms USD per USDT from close price and schema."
BINANCE-USDCUSD-ARCHIVE-2026-07-20,BINANCE,https://data.binance.vision/data/spot/daily/klines/USDCUSD/1d/USDCUSD-1d-2026-07-20.zip,2026-07-21T08:05:00Z,200,4b80fcf16a433c4d7a7ba2af27a0011a7b5ea7a65bd48b0300cdcc71fa69989e,224,/tmp/fx_002_raw/binance/data_archive/USDCUSD-2026-07-20.zip,"Last-Modified: Tue, 21 Jul 2026 02:43:52 GMT; 1 daily bar (open_time=1784505600000000, close=0.99981); CSV schema: open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore",USD per USDC,https://data.binance.vision,UNKNOWN: no terms evidence captured,"Correct /data/ path 200 for 2026-07-20. Historical coverage: recent/partial. Confirms USD per USDC from close price and schema."
BINANCE-USDTUSD-CHECKSUM-2026-07-20,BINANCE,https://data.binance.vision/data/spot/daily/klines/USDTUSD/1d/USDTUSD-1d-2026-07-20.zip.CHECKSUM,2026-07-21T08:05:00Z,200,b2c76edc30e2728d50672832f13e0c75eb863cd1dc6e6487f907fd07af8568a5,91,/tmp/fx_002_raw/binance/data_archive/USDTUSD-2026-07-20.zip.CHECKSUM,"Last-Modified: Tue, 21 Jul 2026 02:43:51 GMT; provider checksum matches local zip sha",NOT_APPLICABLE: checksum sidecar,https://data.binance.vision,UNKNOWN: no terms evidence captured,"Provider checksum 31b77cdca... matches downloaded zip. Integrity verified."
BINANCE-USDCUSD-CHECKSUM-2026-07-20,BINANCE,https://data.binance.vision/data/spot/daily/klines/USDCUSD/1d/USDCUSD-1d-2026-07-20.zip.CHECKSUM,2026-07-21T08:05:00Z,200,94b6fd74ce28033afec46048aa432113ec62261ca47abce8c8101d026afe4141,91,/tmp/fx_002_raw/binance/data_archive/USDCUSD-2026-07-20.zip.CHECKSUM,"Last-Modified: Tue, 21 Jul 2026 02:43:52 GMT; provider checksum matches local zip sha",NOT_APPLICABLE: checksum sidecar,https://data.binance.vision,UNKNOWN: no terms evidence captured,"Provider checksum 4b80fcf16... matches downloaded zip. Integrity verified."
BINANCE-USD-DOCS,BINANCE,https://binance-docs.github.io/apidocs/spot/en/,2026-07-21T08:00:00Z,200,92e71396cd7b4f1ef1ef15132d6feb5c36490dc1c04d6a8655757c42c2859717,355,/tmp/fx_002_raw/binance/binance_api_docs.html,"redirect page; no explicit definition of USD quote asset as fiat found",UNKNOWN: no rate info,https://www.binance.com/legal,UNKNOWN: no terms evidence captured,"No explicit identification of USD as fiat USD located in official API docs capture."
